Frame,Hand,Landmark,X,Y,Z
22,Left,7,0.39722633361816406,0.49457812309265137,-0.025015151128172874
22,Left,8,0.4162081778049469,0.44759488105773926,-0.036218564957380295
22,Left,9,0.2881860136985779,0.6328336000442505,-0.003072835272178054
22,Left,10,0.29534831643104553,0.5122488141059875,-0.010796316899359226
22,Left,11,0.3040134012699127,0.4363381862640381,-0.02357260137796402
22,Left,12,0.309504896402359,0.37639865279197693,-0.03385043889284134
22,Left,13,0.24137535691261292,0.6441618204116821,-0.014094028621912003
22,Left,14,0.23710571229457855,0.5302025079727173,-0.026452474296092987
22,Left,15,0.23830315470695496,0.4567551910877228,-0.04479774087667465
22,Left,16,0.24101001024246216,0.3954075872898102,-0.05900096520781517
22,Left,17,0.1971626728773117,0.6829490661621094,-0.027327552437782288
22,Left,18,0.15912359952926636,0.6167930960655212,-0.04520080238580704
22,Left,19,0.13333384692668915,0.5707115530967712,-0.0578264556825161
22,Left,20,0.11188758909702301,0.5270870923995972,-0.06602268666028976
23,Left,0,0.2646046578884125,0.959435224533081,4.3878208089154214e-07
23,Left,1,0.338972270488739,0.8986355662345886,-0.01643015630543232
23,Left,2,0.3904896378517151,0.7903475761413574,-0.016996929422020912
23,Left,3,0.417330801486969,0.7072845697402954,-0.0187721848487854
23,Left,4,0.44024354219436646,0.6489402055740356,-0.019885515794157982
23,Left,5,0.3373892605304718,0.6506051421165466,0.0038833206053823233
23,Left,6,0.37295663356781006,0.5532938241958618,-0.009834556840360165
23,Left,7,0.3968607783317566,0.4937813878059387,-0.025086382403969765
23,Left,8,0.4154502749443054,0.44633185863494873,-0.03644239902496338
23,Left,9,0.28808045387268066,0.6329212188720703,-0.0028616355266422033
23,Left,10,0.29522913694381714,0.5116393566131592,-0.010959897190332413
23,Left,11,0.30384165048599243,0.43515288829803467,-0.024122226983308792
23,Left,12,0.309335857629776,0.374738484621048,-0.03474215045571327
23,Left,13,0.24113476276397705,0.6440898180007935,-0.014265232719480991
23,Left,14,0.2371024489402771,0.5298611521720886,-0.02666417323052883
